Learning Rate	Train Loss	Test Loss	TrainLoss Interior	TrainLoss Bndry	Trainloss Init	Trainloss Shock	
0.01000000	4551.68146755	0.10688788	0.03322784	4.21159036	2.35660294	0.72256875	
0.01000000	634.54947785	0.68489951	0.02008322	1.25470873	0.29269617	0.17930280	
0.01000000	344.26369255	0.12924078	0.03468890	1.43708370	0.11332699	0.10936327	
0.01000000	161.25591877	0.10604313	0.01879008	0.37482457	0.08895675	0.02288065	
0.01000000	87.91424744	0.19715390	0.01611565	0.47282035	0.04154815	0.01539916	
0.01000000	88.20902484	0.08528628	0.01321243	0.55497929	0.04343474	0.01433708	
0.01000000	62.07846160	0.12504195	0.01053503	0.39514261	0.03364996	0.00693657	
0.01000000	43.72567899	0.13303244	0.00998332	0.43317118	0.02475567	0.00345594	
0.01000000	37.17607825	0.10066101	0.01009100	0.45156597	0.02054552	0.00101798	
0.01000000	34.15484514	0.10619729	0.00662247	0.31224329	0.01975813	0.00206976	
0.01000000	29.75238893	0.07868880	0.00576498	0.28251595	0.01805675	0.00143988	
0.01000000	26.03009285	0.06742234	0.00535196	0.19762927	0.01611758	0.00097199	
0.01000000	23.89597964	0.06889169	0.00487810	0.15719180	0.01489449	0.00079724	
0.01000000	22.22368886	0.05306738	0.00401580	0.12906519	0.01472473	0.00044377	
0.01000000	20.84449462	0.04641049	0.00333003	0.09440059	0.01426872	0.00034611	
0.01000000	19.76017071	0.03734368	0.00275008	0.07394822	0.01377406	0.00023174	
0.01000000	19.07411339	0.03183106	0.00231812	0.06601924	0.01361920	0.00021719	
0.01000000	17.69839807	0.02653883	0.00196140	0.05945974	0.01294880	0.00018203	
0.01000000	17.19776305	0.02354607	0.00169571	0.05344652	0.01266503	0.00015426	
0.01000000	15.93214300	0.02101627	0.00150429	0.04934201	0.01187413	0.00014498	
0.01000000	16.12116331	0.01781268	0.00134609	0.04542912	0.01210469	0.00013817	
0.01000000	15.75935484	0.01552239	0.00121295	0.03996331	0.01188212	0.00014554	
0.01000000	14.99164044	0.01391858	0.00111902	0.03577423	0.01150257	0.00015461	
0.01000000	14.51128302	0.01230802	0.00103418	0.03279736	0.01092772	0.00015316	
0.01000000	13.70239782	0.01104563	0.00094650	0.03000146	0.01051635	0.00017053	
0.01000000	13.72798676	0.01027217	0.00088088	0.02786127	0.01045139	0.00018307	
0.01000000	13.26314104	0.00955052	0.00083170	0.02679932	0.01015860	0.00018407	
0.01000000	12.77388672	0.00874959	0.00077927	0.02579516	0.00979707	0.00018825	
0.01000000	12.49133259	0.00819553	0.00073520	0.02458412	0.00956709	0.00020440	
0.01000000	11.97651329	0.00773296	0.00070471	0.02389892	0.00917506	0.00019474	
0.01000000	11.82580724	0.00724455	0.00067372	0.02302400	0.00893653	0.00020361	
0.01000000	11.26913616	0.00685458	0.00064905	0.02277090	0.00877275	0.00019459	
0.01000000	11.22726000	0.00639717	0.00062729	0.02263849	0.00845876	0.00019338	
0.01000000	11.04599223	0.00613435	0.00060716	0.02258800	0.00832323	0.00019966	
0.01000000	10.54492821	0.00581757	0.00059154	0.02214930	0.00800782	0.00019902	
0.01000000	10.49013936	0.00565026	0.00058146	0.02201887	0.00798368	0.00019326	
0.01000000	10.32855414	0.00534271	0.00056862	0.02219887	0.00781108	0.00018051	
0.01000000	9.78161595	0.00519764	0.00055681	0.02241688	0.00749432	0.00018268	
0.01000000	9.96998307	0.00498097	0.00055011	0.02223823	0.00755619	0.00017770	
0.01000000	9.69287557	0.00489684	0.00054513	0.02169292	0.00734493	0.00017282	
0.01000000	9.24413691	0.00466747	0.00054124	0.02208499	0.00721097	0.00016658	
0.01000000	9.19681870	0.00460735	0.00053320	0.02192519	0.00688269	0.00015729	
